Year,Rainfall (mm)
,
1986, 385.74
,
1987, 452.59
,
1988, 457.34
,
1989, 477.69
,
1990, 415.55
,
1991, 464.06
,
1992, 453.89
,
1993, 486.38
,
1994, 338.57
,
1995, 520.91
,
1996, 461.17
,
1997, 511.34
,
1998, 549.86
,
1999, 578.27
,
2000, 698.3
,
2001, 550.08
,
2002, 331.24
,
2003, 472.58
,
2004, 497.29
,
2005, 396.98
,
2006, 488.84
,
2007, 506.39
,
2008, 478.69
,
2009, 460.81
,
2010, 703.36
,
2011, 707.73
,
2012, 479.04
,
2013, 430.29
,
2014, 482.83
,
2015, 446.29
,
2016, 552.22
,
2017, 503.68
,
2018, 405.85
,
2019, 275.71
,
2020, 486.59
,
2021, 508.93